pr_number,title,url,status,created_at,merged_at,closed_at,labels,component,num_commits,additions,deletions,changed_files,review_comments_count,days_open,reviewers,related_issues,summary,potential_rationale,category,change_type
31648,[28.x] Backports,https://github.com/bitcoin/bitcoin/pull/31648,merged,2025-01-13T15:12:33Z,2025-03-05T17:35:10Z,2025-03-05T17:35:10Z,Backport;CI failed,,5,44,55,8,0,51,stickies-v;willcl-ark,,This is a backport PR that brings four previously merged changes to the 28.x release branch. The specific changes being backported are referenced by their PR numbers.,"This likely helps maintain the 28.x release branch by incorporating important fixes or improvements that were merged into the main development branch, ensuring users on the stable release get critical updates.",other,bugfix
31671,Update leveldb subtree to latest upstream,https://github.com/bitcoin/bitcoin/pull/31671,merged,2025-01-16T11:13:12Z,2025-01-21T17:01:24Z,2025-01-21T17:01:24Z,,,3,8,63,8,0,5,hebasto;theuni,29852,Updates Bitcoin Core's embedded leveldb database library to the latest upstream version. This includes three specific changes from the leveldb-subtree repository.,"This may help improve database performance, fix potential bugs, or add security improvements from the upstream leveldb project, which could enhance Bitcoin Core's blockchain storage reliability and efficiency.",build,feature
31766,leveldb: pull upstream C++23 changes,https://github.com/bitcoin/bitcoin/pull/31766,merged,2025-01-30T14:01:28Z,2025-03-20T05:03:59Z,2025-03-20T05:03:59Z,,,3,23,13,4,0,48,darosior;dergoegge,,Cherry-picks two commits from upstream leveldb that remove usage of deprecated C++ features (std::aligned_storage/std::aligned_union) to maintain C++23 compatibility.,"This likely ensures Bitcoin Core remains compatible with newer C++ standards and compilers, which may help with future maintenance, security, and performance as the C++ ecosystem evolves.",build,cleanup
31818,guix: remove test-security/symbol-check scripts,https://github.com/bitcoin/bitcoin/pull/31818,merged,2025-02-07T15:57:54Z,2025-02-12T08:48:01Z,2025-02-12T08:48:01Z,Build system,Build system,1,2,327,5,2,4,hebasto;theuni,31698;31715,Removes the test-security and symbol-check scripts from the Guix build system. The author argues these scripts have become more problematic than helpful since adopting Guix for release builds.,"This appears to streamline the build process by removing tests that may have become redundant with Guix's deterministic build environment, potentially reducing build complexity and maintenance burden.",build,cleanup
31819,doc: swap CPPFLAGS for APPEND_CPPFLAGS,https://github.com/bitcoin/bitcoin/pull/31819,merged,2025-02-07T16:09:50Z,2025-02-10T14:56:16Z,2025-02-10T14:56:16Z,Docs,Docs,1,2,2,1,0,2,hebasto,,"Updates documentation to replace CPPFLAGS with APPEND_CPPFLAGS in examples. The current documentation shows a variable that CMake doesn't recognize, leading to warning messages.","This likely helps developers and users who follow the documentation avoid confusion and build warnings when using CMake, which may improve the overall developer experience and reduce support burden.",docs,docs
31820,build: consistently use `CLIENT_NAME` in libbitcoinkernel.pc.in,https://github.com/bitcoin/bitcoin/pull/31820,merged,2025-02-07T16:15:46Z,2025-02-10T10:00:55Z,2025-02-10T10:00:56Z,Build system,Build system,1,1,1,1,0,2,hebasto;luke-jr;stickies-v;theuni,,Updates the libbitcoinkernel.pc.in file to consistently use the CLIENT_NAME variable instead of hardcoded values. This is a follow-up fix to ensure proper naming consistency in the pkg-config file.,"This change likely helps maintain consistent branding and naming across Bitcoin Core's build artifacts, which may be important for downstream projects that depend on libbitcoinkernel and use pkg-config to discover build information.",build,cleanup
31840,depends: add missing Darwin objcopy,https://github.com/bitcoin/bitcoin/pull/31840,merged,2025-02-11T10:56:05Z,2025-02-12T17:51:04Z,2025-02-12T17:51:04Z,Build system,Build system,1,1,0,1,0,1,djs19901;laanwj;theuni,,Adds the missing Darwin objcopy tool reference to the CMake toolchain configuration. Currently the toolchain file references a non-existent objcopy tool for Darwin cross-compilation builds.,"This change appears to improve the correctness of the build system by ensuring all toolchain references point to actual tools, which may prevent potential build failures or confusion for developers working on Darwin cross-compilation, even though objcopy isn't currently used in Darwin builds.",build,bugfix
31849,depends: set `CMAKE_*_COMPILER_TARGET` in toolchain,https://github.com/bitcoin/bitcoin/pull/31849,merged,2025-02-12T17:00:20Z,2025-03-27T07:35:14Z,2025-03-27T07:35:14Z,Build system,Build system,1,5,0,2,2,42,hebasto;willcl-ark,31748,Sets the CMAKE_*_COMPILER_TARGET variable in the toolchain file to follow CMake's recommended approach for cross-compilation with Clang. This prevents duplicated target flags on the compiler command line.,"This change likely improves build reliability and follows CMake best practices, which may help prevent compilation issues and ensure more predictable cross-compilation behavior, particularly for Apple platform builds where duplicate target flags could cause problems.",build,cleanup
31850,ci: switch MSAN to use prebuilt Clang binaries,https://github.com/bitcoin/bitcoin/pull/31850,closed,2025-02-12T17:45:01Z,,2025-02-20T15:14:50Z,Tests,Tests,1,9,21,3,1,7,fanquake;maflcko,,Changes the Memory Sanitizer (MSAN) CI configuration to use prebuilt Clang binaries from apt.llvm.org instead of building from source. This updates the testing infrastructure to use packaged binaries.,"This change likely improves CI build times and reliability by using maintained binary packages instead of compiling Clang from source, which may reduce CI infrastructure costs and make the testing process more stable and faster for memory sanitizer checks.",tests,cleanup
31857,depends: avoid an unset `CMAKE_OBJDUMP`,https://github.com/bitcoin/bitcoin/pull/31857,merged,2025-02-13T13:07:58Z,2025-02-14T09:49:15Z,2025-02-14T09:49:15Z,Build system,Build system,1,1,0,1,0,0,hebasto;theuni,31840,Fixes the Linux toolchain file to properly set CMAKE_OBJDUMP instead of leaving it as an empty string. This ensures consistency with other toolchain variables that point to actual cross-compilation tools.,"This change appears to improve toolchain file completeness and consistency, which may help prevent potential build issues or confusion for developers doing Linux cross-compilation, ensuring all expected tools are properly referenced even if not currently used.",build,bugfix
