number,count,title,url
31713,1,miniscript refactor: Remove unique_ptr-indirection,https://github.com/bitcoin/bitcoin/pull/31713
33391,1,test: Prevent disk space warning during node_init_tests,https://github.com/bitcoin/bitcoin/pull/33391
33112,1,wallet: relax external_signer flag constraints,https://github.com/bitcoin/bitcoin/pull/33112
32353,1,doc: Fix fuzz test_runner.py path,https://github.com/bitcoin/bitcoin/pull/32353
32703,1,test: Explain how to reproduce zmq:: upstream race,https://github.com/bitcoin/bitcoin/pull/32703
32646,1,p2p: Add witness mutation check inside FillBlock,https://github.com/bitcoin/bitcoin/pull/32646
33407,2,cmake: Install `bitcoin` manpage,https://github.com/bitcoin/bitcoin/pull/33407
33779,4,"ci, iwyu: Fix warnings in `src/kernel` and treat them as errors",https://github.com/bitcoin/bitcoin/pull/33779
32538,1,restrict std::cerr to errors; use std::cout for warnings and info,https://github.com/bitcoin/bitcoin/pull/32538
34053,1,"lint: Remove confusing, redundant, and brittle lint-spelling",https://github.com/bitcoin/bitcoin/pull/34053
33000,2,ci: Run unit tests parallel with functional tests,https://github.com/bitcoin/bitcoin/pull/33000
33903,2,ci: Remove redundant busybox option,https://github.com/bitcoin/bitcoin/pull/33903
32241,6,[29.x] 29.0 final changes,https://github.com/bitcoin/bitcoin/pull/32241
32312,1,test: Fix feature_pruning test after nTime typo fix,https://github.com/bitcoin/bitcoin/pull/32312
32742,1,test: fix catchup loop in outbound eviction functional test,https://github.com/bitcoin/bitcoin/pull/32742
32607,1,"rpc: Note in fundrawtransaction doc, fee rate is for package",https://github.com/bitcoin/bitcoin/pull/32607
33446,2,rpc: fix getblock(header) returns target for tip,https://github.com/bitcoin/bitcoin/pull/33446
12435,1,RPC: Strict JSON-RPC 2.0 compliance (gated behind flag),https://github.com/bitcoin/bitcoin/pull/12435
29270,2,Implement OP_CHECKSIGFROMSTACK(VERIFY),https://github.com/bitcoin/bitcoin/pull/29270
32345,2,ipc: Handle unclean shutdowns better,https://github.com/bitcoin/bitcoin/pull/32345
33606,1,ci: Work around GitHub Recv failure on raw curl usage,https://github.com/bitcoin/bitcoin/pull/33606
33743,1,fuzz: refactor memcpy to std::ranges::copy to work around ubsan warn,https://github.com/bitcoin/bitcoin/pull/33743
33190,1,build: Enable ENABLE_IPC option by default,https://github.com/bitcoin/bitcoin/pull/33190
31904,1,refactor: modernize outdated trait patterns using helper aliases (C++14/C++17),https://github.com/bitcoin/bitcoin/pull/31904
33939,1,contrib: Count entry differences in asmap-tool diff summary,https://github.com/bitcoin/bitcoin/pull/33939
31841,1,fuzz: Use immediate task runner to increase fuzz stability,https://github.com/bitcoin/bitcoin/pull/31841
33201,14,Add functional test for IPC interface,https://github.com/bitcoin/bitcoin/pull/33201
32943,4,depends: Force `CMAKE_EXPORT_NO_PACKAGE_REGISTRY=TRUE`,https://github.com/bitcoin/bitcoin/pull/32943
31379,1,cmake: Fix passing `APPEND_*FLAGS` to `secp256k1` subtree,https://github.com/bitcoin/bitcoin/pull/31379
33082,1,"wallet, refactor: Remove Legacy check and error",https://github.com/bitcoin/bitcoin/pull/33082
32693,7,depends: fix cmake compatibility error for freetype,https://github.com/bitcoin/bitcoin/pull/32693
32406,2,policy: uncap datacarrier by default,https://github.com/bitcoin/bitcoin/pull/32406
33702,1,"contrib: Remove brittle, confusing and redundant UTF8 encoding from Python IO",https://github.com/bitcoin/bitcoin/pull/33702
32113,1,fuzz: enable running fuzz test cases in Debug mode,https://github.com/bitcoin/bitcoin/pull/32113
32543,1,kernel: Remove dependency on clientversion,https://github.com/bitcoin/bitcoin/pull/32543
33581,3,ci: Properly include $FILE_ENV in DEPENDS_HASH,https://github.com/bitcoin/bitcoin/pull/33581
31945,1,depends: Update libmultiprocess library to fix CI failures,https://github.com/bitcoin/bitcoin/pull/31945
33094,1,refactor: unify container presence checks,https://github.com/bitcoin/bitcoin/pull/33094
31787,1,ci: run in worktrees,https://github.com/bitcoin/bitcoin/pull/31787
32514,3,scripted-diff: Remove unused leading newline in RPC docs,https://github.com/bitcoin/bitcoin/pull/32514
32847,1,Rename CMake required flags variable in crc32c,https://github.com/bitcoin/bitcoin/pull/32847
34090,1,net: Fix `-Wmissing-braces`,https://github.com/bitcoin/bitcoin/pull/34090
31292,1,Add `contrib/justfile` containing useful development workflow commands.,https://github.com/bitcoin/bitcoin/pull/31292
33186,1,"wallet, test: Ancient Wallet Migration from v0.14.3 (no-HD and Single Chain)",https://github.com/bitcoin/bitcoin/pull/33186
31504,1,cmake: De-duplicate libraries on link lines opportunistically,https://github.com/bitcoin/bitcoin/pull/31504
33237,1,doc: use new block_to_connect parameter name,https://github.com/bitcoin/bitcoin/pull/33237
34008,2,"log: don't rate-limit ""new peer"" with -debug=net",https://github.com/bitcoin/bitcoin/pull/34008
33519,3,Update libmultiprocess subtree in 30.x branch,https://github.com/bitcoin/bitcoin/pull/33519
32888,3,ci: Use optimized Debug build type in test-each-commit,https://github.com/bitcoin/bitcoin/pull/32888
