pr_number,title,url,status,created_at,merged_at,closed_at,labels,component,num_commits,additions,deletions,changed_files,review_comments_count,days_open,reviewers,related_issues,summary,potential_rationale,category,change_type
31803,fuzz: Extend mini_miner fuzz coverage to max block weight,https://github.com/bitcoin/bitcoin/pull/31803,closed,2025-02-05T16:46:15Z,,2025-10-15T17:21:23Z,Tests,Tests,3,37,5,1,20,252,glozow;ismaelsadeeq,31384,This PR extends fuzz testing coverage for the mini_miner functionality to include the full range of allowed block weights up to the maximum block weight limit.,"This may help improve Bitcoin's robustness by ensuring that block assembly logic works correctly across all possible block sizes, which could help prevent edge case bugs that might affect mining or validation.",tests,test
31861,"RFC: Generated headers with """"_hex user-defined literal",https://github.com/bitcoin/bitcoin/pull/31861,closed,2025-02-13T20:58:58Z,,2025-02-13T22:11:09Z,,,2,22,16,3,0,0,,28792,"This RFC proposes using a ""_hex"" user-defined literal in generated headers to make them more compact and readable when dealing with hexadecimal data.","This appears to be aimed at reducing code size and improving maintainability, which may help make Bitcoin Core's codebase more efficient and easier to work with, particularly for embedded use cases like asmap files.",utils,refactor
31977,test: Use rpc_deprecated only for testing deprecation,https://github.com/bitcoin/bitcoin/pull/31977,merged,2025-03-03T21:05:48Z,2025-03-16T08:59:52Z,2025-03-16T08:59:52Z,Tests,Tests,1,11,11,1,14,12,janb84;musaHaruna;polespinasa;rkrux,,"This PR modifies the RPC deprecation test to focus only on testing deprecated RPC behavior when deprecation flags are disabled, rather than testing both enabled and disabled states.","This likely helps streamline the testing process by eliminating redundant test coverage, since deprecated RPCs are probably already tested elsewhere, which may improve test efficiency and reduce maintenance overhead.",tests,cleanup
32033,test: Check datadir cleanup after assumeutxo was successful,https://github.com/bitcoin/bitcoin/pull/32033,merged,2025-03-11T13:45:36Z,2025-03-17T13:44:29Z,2025-03-17T13:44:29Z,Tests,Tests,1,21,2,1,9,5,Prabhat1308;TheCharlatan;aiswaryasankar;l0rinc;musaHaruna,,This PR adds test coverage to verify that the data directory is properly cleaned up after a successful assumeutxo node restart.,"This may help ensure that the assumeutxo feature works correctly by verifying proper cleanup behavior, which could help prevent disk space issues or data corruption that might affect node operation.",tests,test
32133,RFC: Accept non-std transactions in Testnet4 by default again,https://github.com/bitcoin/bitcoin/pull/32133,closed,2025-03-24T15:46:43Z,,2025-05-20T21:01:59Z,Brainstorming;Tests,Tests,1,2,3,2,0,57,,28354;26348,"This RFC proposes to allow non-standard transactions in Testnet4 by default again, reversing a previous change that restricted them.","This appears to aim at making Testnet4 more useful for testing and experimentation by allowing non-standard transactions, which may help developers test edge cases and new transaction types without the constraints of mainnet standardness rules.",consensus,feature
32575,refactor: Remove special treatment for single threaded script checking,https://github.com/bitcoin/bitcoin/pull/32575,open,2025-05-20T20:52:49Z,,,Refactoring,,6,103,86,4,42,,fjahr;l0rinc;maflcko;mzumsande;sedited;theuni,,Removes special handling for single-threaded script validation by unifying the code paths between single-threaded and multi-threaded script checking.,"This refactoring likely aims to simplify the validation code by eliminating duplicate logic paths, which may make the codebase easier to maintain and potentially reduce bugs that could arise from inconsistencies between threading approaches.",validation,refactor
33026,"test, refactor: Embedded ASMap [1/3]: Selected minor preparatory work",https://github.com/bitcoin/bitcoin/pull/33026,merged,2025-07-20T21:55:35Z,2025-11-19T09:28:55Z,2025-11-19T09:28:55Z,,,4,116,8,6,28,121,fanquake;hodlinator;laanwj;maflcko;sipa;waketraindev,28792;28792;28792,Adds unit test vectors for ASMap interpreter and modernizes logging in ASMap utilities as preparatory work for embedded ASMap functionality.,"This preparatory work likely helps ensure the robustness of ASMap (Autonomous System mapping) functionality, which may improve Bitcoin's network topology awareness and potentially enhance resistance to certain network-level attacks.",tests,test
33134,"refactor, index: Remove member variables in coinstatsindex",https://github.com/bitcoin/bitcoin/pull/33134,closed,2025-08-04T16:21:18Z,,2025-08-15T23:31:25Z,,,1,68,128,2,16,11,furszy;jonatack;l0rinc;mzumsande,30469,Removes member variables from coinstatsindex class and replaces them with local variables where needed.,"This refactoring likely improves code organization and potentially reduces memory usage or object lifecycle complexity in the coin statistics indexing system, which may contribute to better performance or maintainability.",utils,refactor
33251,[29.x] backport #33212,https://github.com/bitcoin/bitcoin/pull/33251,merged,2025-08-24T21:36:22Z,2025-08-27T08:47:10Z,2025-08-27T08:47:10Z,Backport,,2,17,7,2,0,2,mzumsande;stickies-v,33212,Backports changes from PR #33212 to the 29.x release branch.,"This backport likely brings important fixes or improvements to the stable 29.x branch, which may help maintain consistency and reliability across Bitcoin Core versions currently in use.",other,bugfix
33306,index: Force database compaction in coinstatsindex,https://github.com/bitcoin/bitcoin/pull/33306,closed,2025-09-04T13:56:22Z,,2026-02-17T23:38:50Z,UTXO Db and Indexes,UTXO Db and Indexes,2,21,1,6,17,166,l0rinc;mzumsande,,"Forces database compaction in coinstatsindex every 10,000 blocks to prevent the accumulation of many small database files.","This change likely addresses database fragmentation issues that may occur during fast synchronization, potentially improving disk space efficiency and database performance for nodes that use coin statistics indexing.",utils,performance
33332,common: Make arith_uint256 trivially copyable,https://github.com/bitcoin/bitcoin/pull/33332,merged,2025-09-07T16:32:21Z,2025-09-11T21:43:28Z,2025-09-11T21:43:28Z,,,1,5,14,1,9,4,TheCharlatan;ajtowns;hodlinator;l0rinc,,"Removes custom copy constructor and assignment operators from arith_uint256 to make it trivially copyable, allowing compiler optimizations.","This change may help improve performance by allowing better compiler optimizations for arithmetic operations on 256-bit unsigned integers, which are frequently used in Bitcoin's cryptographic operations and validation logic.",other,performance
33477,Rollback for dumptxoutset without invalidating blocks,https://github.com/bitcoin/bitcoin/pull/33477,open,2025-09-24T21:15:11Z,,,,,5,251,111,6,35,,kevkevinpal;mzumsande;sedited;theStack,29565;33444,Implements dumptxoutset functionality with rollback capability using a temporary copy of the coins database instead of invalidating blocks.,"This approach likely provides a safer way to create UTXO set snapshots at historical points without disrupting the active blockchain state, which may help with debugging, analysis, and assumeUTXO functionality.",rpc,feature
33631,init: Split file path handling out of -asmap option,https://github.com/bitcoin/bitcoin/pull/33631,closed,2025-10-14T22:25:01Z,,2025-11-25T13:06:20Z,Needs rebase,,1,37,18,2,1,41,laanwj,33632;33386;33386,Splits the -asmap option into a boolean -asmap flag and a separate -asmapfile option for specifying the file path.,"This change appears to improve the user interface for ASN-to-IP mapping configuration, which may help make network diversity features more intuitive to configure and potentially improve Bitcoin's resistance to network-level attacks.",other,refactor
33632,init: Improve -asmap option behavior and documentation,https://github.com/bitcoin/bitcoin/pull/33632,closed,2025-10-14T22:25:13Z,,2025-10-22T11:27:41Z,,,2,2,2,2,2,7,maflcko,33631;33386;33386,"Improves the behavior and documentation of the existing -asmap option, particularly fixing how path arguments are handled.","This change likely addresses edge cases in ASN-to-IP mapping configuration that could lead to unexpected behavior, potentially improving Bitcoin's network diversity features and resistance to network partitioning attacks.",other,bugfix
33636,wallet: Expand MuSig test coverage and follow-ups,https://github.com/bitcoin/bitcoin/pull/33636,merged,2025-10-16T00:02:51Z,2025-12-23T01:15:04Z,2025-12-23T01:15:04Z,Wallet,Wallet,4,147,54,5,12,68,rkrux,29675,Expands test coverage for MuSig functionality and addresses remaining code review comments from the original MuSig implementation.,"This change appears to strengthen the reliability of MuSig multi-signature functionality through better test coverage, which may help ensure the robustness of advanced signature schemes that could improve Bitcoin's privacy and efficiency.",wallet,test
33740,RFC: bench: Add multi thread benchmarking,https://github.com/bitcoin/bitcoin/pull/33740,closed,2025-10-29T23:36:13Z,,2026-01-15T22:11:10Z,Needs rebase,,1,87,31,4,5,77,l0rinc,,Adds multi-threaded benchmarking capabilities to Bitcoin Core's performance testing suite. This allows developers to test how different numbers of worker threads impact performance.,"This may help developers optimize Bitcoin Core's multi-threaded performance, particularly for validation operations like batch signature verification, which could lead to faster block processing and improved node efficiency.",tests,feature
33878,"refactor, docs: Embedded ASMap [2/3]: Refactor asmap internals and add documentation",https://github.com/bitcoin/bitcoin/pull/33878,merged,2025-11-15T20:50:29Z,2026-02-02T17:22:39Z,2026-02-02T17:22:39Z,,,5,358,217,17,55,78,hodlinator;laanwj;sedited;sipa;waketraindev,28792;28792;28792,Refactors and modernizes the ASMap (Autonomous System mapping) code by switching from bit operations to std::byte operations and unifying version handling. This is preparation work for embedding ASMap data directly in Bitcoin Core.,"This likely improves code maintainability and sets the foundation for embedded ASMap functionality, which may help Bitcoin nodes better resist eclipse attacks by providing more reliable peer diversity based on network topology.",p2p,refactor
33880,test: Fix race condition in IPC interface block progation test,https://github.com/bitcoin/bitcoin/pull/33880,merged,2025-11-15T22:08:17Z,2025-11-20T17:19:32Z,2025-11-20T17:19:32Z,Tests,Tests,1,3,1,1,3,4,Sjors;maflcko,33884,Fixes a race condition in the IPC interface block propagation test by switching the check to the node that actually produces the block.,"This appears to improve test reliability and reduce false failures in continuous integration, which may help maintain development velocity and catch real issues more effectively.",tests,bugfix
