pr_number,title,url,status,created_at,merged_at,closed_at,labels,component,num_commits,additions,deletions,changed_files,review_comments_count,days_open,reviewers,related_issues,summary,potential_rationale,category,change_type
31649,consensus: Remove checkpoints (take 2),https://github.com/bitcoin/bitcoin/pull/31649,merged,2025-01-13T15:38:11Z,2025-03-14T00:09:28Z,2025-03-14T00:09:28Z,Consensus,Consensus,2,13,738,18,23,59,Armss9936;BrandonOdiwuor;Sjors;darosior;dergoegge;l0rinc;mzumsande,,"Removes all checkpoint logic from Bitcoin Core consensus code, relying instead on headers presync logic to prevent memory DoS attacks.","This change likely simplifies the consensus code by eliminating hardcoded checkpoints, which may improve maintainability and reduce the need for periodic checkpoint updates while still protecting against low-work header attacks.",consensus,refactor
32025,"validation, fix: Use wtxid instead of txid in `CheckEphemeralSpends`",https://github.com/bitcoin/bitcoin/pull/32025,merged,2025-03-10T15:17:24Z,2025-03-12T11:58:10Z,2025-03-12T11:58:10Z,Bug;Mempool,Mempool,2,80,79,7,5,1,aiswaryasankar;dergoegge;glozow,,Fixes a bug in CheckEphemeralSpends where txid was incorrectly used instead of wtxid in a map that should only contain wtxids.,"This bugfix likely ensures proper validation of ephemeral spend transactions by using the correct transaction identifier format, which may prevent potential validation errors or inconsistencies in mempool acceptance.",validation,bugfix
32189,refactor: Txid type safety (parent PR),https://github.com/bitcoin/bitcoin/pull/32189,closed,2025-04-01T18:47:14Z,,2025-08-01T13:59:05Z,Refactoring;Needs rebase;CI failed,,15,485,437,67,2,121,maflcko,,"A comprehensive refactor that replaces uint256 with type-safe Txid, Wtxid, and GenTxid types throughout the codebase, removing implicit conversions.","This type safety improvement likely reduces the risk of programming errors by making transaction identifier types explicit, which may help prevent bugs where different types of transaction IDs are accidentally mixed up.",other,refactor
32237,qt: Update SetHexDeprecated to FromHex,https://github.com/bitcoin/bitcoin/pull/32237,merged,2025-04-08T15:10:41Z,2025-04-10T11:30:29Z,2025-04-10T11:30:29Z,GUI,GUI,2,26,61,5,7,1,BrandonOdiwuor;TheCharlatan;hebasto;laanwj;w0xlt,,Updates Qt GUI code to use FromHex() instead of SetHexDeprecated() when converting hex strings to transaction IDs.,"This change likely improves input validation in the GUI by using a method that performs correctness checks, which may help prevent crashes or unexpected behavior when users input malformed transaction IDs.",gui,refactor
32238,"qt, wallet: Convert uint256 to Txid",https://github.com/bitcoin/bitcoin/pull/32238,merged,2025-04-08T15:17:40Z,2025-05-16T07:54:50Z,2025-05-16T07:54:50Z,Wallet,Wallet,3,155,150,28,21,37,BrandonOdiwuor;furszy;maflcko;stickies-v,,Converts wallet and GUI code from using uint256 to type-safe Txid for transaction identifiers.,"This type safety improvement likely reduces the potential for programming errors in wallet operations by making transaction ID types explicit, which may help prevent bugs in transaction handling and display.",wallet,refactor
32602,fuzz: Add target for coins database,https://github.com/bitcoin/bitcoin/pull/32602,merged,2025-05-23T15:01:21Z,2025-06-05T08:28:31Z,2025-06-05T08:28:31Z,Tests;Fuzzing,Tests,3,39,7,1,9,12,TheCharlatan;l0rinc,,Adds a new fuzzing target that tests the coins database with an actual database backend instead of just a basic view. This reopens a previous PR to enable more comprehensive testing of the coins storage system.,"This change likely helps improve Bitcoin's robustness by enabling fuzz testing to catch potential bugs in the actual database implementation used for storing UTXO data, which may help prevent consensus failures or crashes related to coin storage.",tests,test
32631,refactor: Convert GenTxid to `std::variant`,https://github.com/bitcoin/bitcoin/pull/32631,merged,2025-05-28T15:45:16Z,2025-07-11T17:47:34Z,2025-07-11T17:47:34Z,Refactoring,,11,313,316,33,64,44,dergoegge;hodlinator;maflcko;stickies-v;theStack;w0xlt,,Converts the GenTxid class to use std::variant to hold both transaction IDs and witness transaction IDs. This replaces manual type checking with compile-time type safety.,"This refactoring likely reduces the risk of programming errors by making the type system enforce correct usage of transaction identifiers, which may help prevent bugs that could affect transaction handling or validation logic.",other,refactor
33005,refactor: GenTxid type safety followups,https://github.com/bitcoin/bitcoin/pull/33005,merged,2025-07-17T18:50:14Z,2025-07-30T18:20:32Z,2025-07-30T18:20:32Z,Refactoring,,3,46,43,6,31,12,ajtowns;glozow;hodlinator;janb84;maflcko;stickies-v,,"Provides follow-up improvements to the GenTxid variant conversion, addressing specific feedback and issues from the previous PR. This continues the type safety refactoring work.","These refinements likely improve code quality and maintainability by addressing edge cases or improvements identified during review, which may help ensure the type safety changes work correctly across all use cases.",other,refactor
33116,refactor: Convert uint256 to Txid,https://github.com/bitcoin/bitcoin/pull/33116,merged,2025-08-01T13:45:43Z,2025-08-13T18:51:03Z,2025-08-13T18:51:03Z,Refactoring,,8,323,305,75,22,12,dergoegge;janb84;maflcko;stickies-v;theStack,,Completes the type safety refactor by converting uint256 types to proper Txid types throughout the codebase. This moves transaction identifier headers to the primitives directory as they become fundamental types.,"This final step in the type safety refactor likely eliminates remaining opportunities for type confusion errors and appears to establish transaction identifiers as core primitive types, which may help prevent bugs and improve code clarity.",other,refactor
33429,fuzz: reduce iterations in slow targets,https://github.com/bitcoin/bitcoin/pull/33429,merged,2025-09-18T16:56:17Z,2025-09-20T13:53:36Z,2025-09-20T13:53:36Z,Tests;Fuzzing,Tests,1,4,4,3,1,1,brunoerg;dergoegge;enirox001;furszy,,"Reduces the number of iterations in slow-running fuzz targets to improve testing performance. This specifically targets mini_miner, txdownloadman, and tx_pool_standard fuzz tests.","This optimization likely helps maintain effective continuous integration by reducing fuzz test runtime, which may help ensure developers get faster feedback and that more comprehensive testing can be completed within reasonable time constraints.",tests,performance
