number,count,title,url
32884,1,rest: replace `rf_names[0].rf` by `RESTResponseFormat::UNDEF`,https://github.com/bitcoin/bitcoin/pull/32884
34053,1,"lint: Remove confusing, redundant, and brittle lint-spelling",https://github.com/bitcoin/bitcoin/pull/34053
32406,8,policy: uncap datacarrier by default,https://github.com/bitcoin/bitcoin/pull/32406
33610,1,doc: archive release notes for v29.2,https://github.com/bitcoin/bitcoin/pull/33610
33169,4,"interfaces, chain, refactor: Remove unused getTipLocator and incaccurate getActiveChainLocator",https://github.com/bitcoin/bitcoin/pull/33169
31820,1,build: consistently use `CLIENT_NAME` in libbitcoinkernel.pc.in,https://github.com/bitcoin/bitcoin/pull/31820
34008,7,"log: don't rate-limit ""new peer"" with -debug=net",https://github.com/bitcoin/bitcoin/pull/34008
32867,4,doc: mention key removal in rpc interface modification,https://github.com/bitcoin/bitcoin/pull/32867
33299,4,wallet: reduce unconditional logging during load,https://github.com/bitcoin/bitcoin/pull/33299
33333,9,coins: warn on oversized `-dbcache`,https://github.com/bitcoin/bitcoin/pull/33333
32575,1,refactor: Remove special treatment for single threaded script checking,https://github.com/bitcoin/bitcoin/pull/32575
33036,2,Update secp256k1 subtree to latest master,https://github.com/bitcoin/bitcoin/pull/33036
33489,5,build: Drop support for EOL macOS 13,https://github.com/bitcoin/bitcoin/pull/33489
33870,2,refactor: remove incorrect lifetimebounds,https://github.com/bitcoin/bitcoin/pull/33870
32735,1,[28.x] More backports,https://github.com/bitcoin/bitcoin/pull/32735
33077,1,kernel: create monolithic kernel static library,https://github.com/bitcoin/bitcoin/pull/33077
32631,24,refactor: Convert GenTxid to `std::variant`,https://github.com/bitcoin/bitcoin/pull/32631
29641,1,scripted-diff: Use LogInfo over LogPrintf,https://github.com/bitcoin/bitcoin/pull/29641
31765,5,cmake: Install man pages for configured targets only,https://github.com/bitcoin/bitcoin/pull/31765
34033,2,scripted-diff: Unify error and warning log formatting,https://github.com/bitcoin/bitcoin/pull/34033
33349,1,[30.x] v30.0rc1,https://github.com/bitcoin/bitcoin/pull/33349
30861,5,build: Enhance Ccache performance across worktrees and build trees,https://github.com/bitcoin/bitcoin/pull/30861
