pr_number,title,url,status,created_at,merged_at,closed_at,labels,component,num_commits,additions,deletions,changed_files,review_comments_count,days_open,reviewers,related_issues,summary,potential_rationale,category,change_type
31588,contrib: fix `test_deterministic_coverage.sh` script for out-of-tree builds,https://github.com/bitcoin/bitcoin/pull/31588,closed,2025-01-01T20:12:58Z,,2025-02-26T14:34:24Z,Scripts and tools,,2,8,6,1,6,55,fjahr;hodlinator;maflcko,30875,Fixes the deterministic coverage testing script to work with CMake builds by properly specifying paths to build files for the gcovr tool.,"This likely helps maintain code quality by ensuring that test coverage analysis works correctly for developers using out-of-tree builds, which may help identify untested code paths and improve overall software reliability.",build,bugfix
31658,test: p2p: fix sending of manual INVs in tx download test,https://github.com/bitcoin/bitcoin/pull/31658,merged,2025-01-15T03:06:39Z,2025-01-24T10:49:22Z,2025-01-24T10:49:22Z,Tests,Tests,2,33,2,1,0,9,danielabrozzoni;mzumsande;yuvicc,18044,Fixes a bug in the transaction download test where manual inventory announcements were being ignored due to mismatched wtxidrelay settings.,"This appears to improve test reliability by ensuring that P2P transaction download scenarios are properly validated, which may help catch regressions in the peer-to-peer networking code that could affect transaction propagation.",tests,bugfix
31879,doc: add release note for #27432 (utxo-to-sqlite tool),https://github.com/bitcoin/bitcoin/pull/31879,merged,2025-02-16T01:29:31Z,2025-02-16T11:20:14Z,2025-02-16T11:20:14Z,Docs,Docs,1,7,0,1,0,0,,,Adds a missing release note documenting the utxo-to-sqlite tool that was previously added to Bitcoin Core.,"This likely improves user awareness of available tools by ensuring that the UTXO database export functionality is properly documented, which may help users and researchers who need to analyze the UTXO set.",docs,docs
32050,test: avoid treating hash results as integers,https://github.com/bitcoin/bitcoin/pull/32050,merged,2025-03-13T00:37:03Z,2025-03-27T14:30:51Z,2025-03-27T14:30:51Z,Tests,Tests,2,22,28,5,8,14,BrandonOdiwuor;maflcko;rkrux;ryanofsky,,Refactors the functional test framework to treat hash values (like transaction IDs and block hashes) as byte strings rather than integers.,"This appears to improve code clarity and reduce confusion by representing cryptographic hashes in their natural form, which may help prevent programming errors and make the test code more maintainable and intuitive for developers.",tests,refactor
32116,contrib: refactor: dedup deserialization routines in utxo-to-sqlite script,https://github.com/bitcoin/bitcoin/pull/32116,closed,2025-03-21T17:10:17Z,,2026-01-16T17:15:36Z,Scripts and tools,,1,10,49,1,8,301,l0rinc;rkrux,,Removes duplicate deserialization code from the utxo-to-sqlite script by reusing existing implementations from the functional test framework.,"This likely improves code maintainability by eliminating duplication and leveraging well-tested deserialization routines, which may reduce the risk of bugs and make the codebase easier to maintain.",utils,refactor
32305,test: add test for decoding PSBT with MuSig2 PSBT key types (BIP 373),https://github.com/bitcoin/bitcoin/pull/32305,merged,2025-04-18T21:35:07Z,2025-05-14T20:19:32Z,2025-05-14T20:19:32Z,Tests,Tests,2,82,0,2,8,25,rkrux,31247,"Adds functional tests for decoding PSBTs (Partially Signed Bitcoin Transactions) that contain MuSig2-related key types, extending the test framework to handle these new BIP 373 specifications.","This likely helps ensure Bitcoin Core's PSBT implementation correctly handles MuSig2 multi-signature schemes, which may improve the reliability and interoperability of advanced Bitcoin signing workflows that use threshold signatures.",tests,test
32415,scripted-diff: adapt script error constant names in feature_taproot.py,https://github.com/bitcoin/bitcoin/pull/32415,merged,2025-05-03T18:28:30Z,2025-05-06T22:25:50Z,2025-05-06T22:25:50Z,Refactoring,,1,98,98,1,0,3,rkrux;stratospher,31622,Renames script error constants in test files to resolve naming confusion where the same constant name was used for different error types in legacy versus Schnorr signature verification.,"This appears to reduce potential developer confusion and bugs by making script error handling more explicit, which may help maintainers working on Bitcoin's script validation system avoid mistakes when dealing with different signature types.",tests,refactor
32421,test: refactor: overhaul (w)txid determination for `CTransaction` objects,https://github.com/bitcoin/bitcoin/pull/32421,merged,2025-05-05T17:51:47Z,2025-06-11T21:21:29Z,2025-06-11T21:21:29Z,Tests,Tests,7,333,499,45,3,37,ZKcash-IrishGov;maflcko;marcofleon;rkrux,,"Refactors how transaction and witness transaction IDs are determined for transaction objects in the test framework, removing caching mechanisms and improving the consistency of interfaces.","This likely reduces the chance of test-writing errors and makes the test framework more maintainable, which may help developers write more reliable tests for Bitcoin's transaction handling logic.",tests,refactor
32436,test: refactor: negate signature-s using libsecp256k1,https://github.com/bitcoin/bitcoin/pull/32436,merged,2025-05-07T10:44:03Z,2025-05-09T20:27:01Z,2025-05-09T20:27:01Z,Tests,Tests,1,9,16,1,9,2,laanwj;rkrux;w0xlt,5256,Replaces manual ECDSA signature-s value negation code in unit tests with calls to the libsecp256k1 library function that performs the same operation.,"This likely reduces maintenance burden and potential bugs by using well-tested library functions instead of custom implementations, which may improve the reliability of signature-related testing in Bitcoin Core.",tests,refactor
32505,depends: bump to latest config.guess and config.sub,https://github.com/bitcoin/bitcoin/pull/32505,merged,2025-05-14T22:42:28Z,2025-05-16T08:35:23Z,2025-05-16T08:35:23Z,Build system,Build system,2,587,185,2,1,1,fanquake,28781,Updates the config.guess and config.sub files in the build system dependencies to their latest versions from the upstream GNU project.,"This likely ensures Bitcoin Core can build correctly on newer or less common system architectures and platforms, which may help maintain broad compatibility as the computing ecosystem evolves.",build,cleanup
32533,test: properly check for per-tx sigops limit,https://github.com/bitcoin/bitcoin/pull/32533,merged,2025-05-16T14:50:05Z,2025-05-22T14:06:32Z,2025-05-22T14:06:32Z,Tests,Tests,1,21,2,2,2,5,darosior;instagibbs;tapcrafter,32521,Adds proper testing for the per-transaction signature operations limit standardness check. Currently this limit is only tested indirectly through the much higher per-block consensus limit.,"This may help ensure that Bitcoin Core's transaction validation rules are properly tested, which could prevent potential bugs in standardness checks that might affect transaction relay or mempool acceptance.",tests,test
32544,scripted-diff: test: remove 'descriptors=True' argument for `createwallet` calls,https://github.com/bitcoin/bitcoin/pull/32544,merged,2025-05-17T16:37:17Z,2025-05-19T09:29:49Z,2025-05-19T09:29:49Z,Refactoring;CI failed,,1,53,54,12,0,1,,,"Removes redundant 'descriptors=True' arguments from createwallet calls in tests. Since legacy wallets were removed, descriptor wallets are the only option and the parameter no longer provides useful information.",This likely improves code clarity and reduces maintenance burden by removing obsolete parameters that could confuse developers working on the codebase after legacy wallet removal.,tests,cleanup
32596,"wallet, rpc, doc: various legacy wallet removal cleanups in RPCs",https://github.com/bitcoin/bitcoin/pull/32596,merged,2025-05-22T22:46:30Z,2025-05-23T19:35:03Z,2025-05-23T19:35:03Z,Tests,Tests,3,6,37,7,5,0,1440000bytes;rkrux,25957;32544,Cleans up wallet RPCs by removing legacy wallet references and obsolete fields like 'keypoololdest' from getwalletinfo. Updates documentation to remove mentions of descriptor wallet specifics since they're now the only wallet type.,"This appears to simplify the RPC interface and documentation for users, potentially reducing confusion by removing references to wallet features that no longer exist or distinctions that are no longer relevant.",rpc,cleanup
32621,contrib: utxo_to_sqlite.py: add option to store txid/spk as BLOBs,https://github.com/bitcoin/bitcoin/pull/32621,merged,2025-05-27T03:03:35Z,2026-02-08T09:37:56Z,2026-02-08T09:37:56Z,Scripts and tools,,2,60,22,2,2,257,sedited;w0xlt,,Adds an option to the UTXO-to-SQLite utility script to store transaction IDs and scriptPubKeys as binary BLOBs instead of hex strings. This follows up on earlier feedback for a previously merged utility.,"This may help improve storage efficiency and query performance for users analyzing Bitcoin UTXO data, as binary storage is likely more compact and faster to process than hex string representations.",utils,feature
32642,test: update BIP340 test vectors and implementation (variable-length messages),https://github.com/bitcoin/bitcoin/pull/32642,merged,2025-05-30T00:04:08Z,2025-06-20T21:45:48Z,2025-06-20T21:45:48Z,Tests,Tests,1,5,3,2,0,21,jonasnick;real-or-random,,Updates the BIP340 Schnorr signature test implementation and test vectors to support variable-length messages. Syncs with the latest changes to the BIP specification.,"This likely ensures Bitcoin Core's test framework remains aligned with the official BIP340 specification, which may help maintain compatibility and could be useful for future protocol developments that utilize variable-length message signing.",tests,test
32645,fs: use `ftruncate` in `AllocateFileRange` on OpenBSD,https://github.com/bitcoin/bitcoin/pull/32645,closed,2025-05-30T13:41:31Z,,2025-10-22T15:04:16Z,Up for grabs,,1,4,1,1,3,145,luke-jr,32643,Updates file allocation code to use ftruncate system call on OpenBSD since that platform doesn't support fallocate or posix_fallocate.,"This change likely improves Bitcoin Core's compatibility with OpenBSD systems by ensuring proper file allocation for blockchain data storage, which may help prevent disk space issues during initial block download.",utils,bugfix
32690,"depends: fix multiprocess build on OpenBSD (apply capnp patch, correct SHA256SUM command)",https://github.com/bitcoin/bitcoin/pull/32690,merged,2025-06-06T00:21:59Z,2025-06-11T15:04:56Z,2025-06-11T15:04:56Z,Build system,Build system,2,151,2,5,6,5,fanquake;hebasto,31741,Fixes multiprocess build issues on OpenBSD by applying an upstream patch to capnproto and correcting the SHA256SUM command format.,"This appears to enable multiprocess functionality on OpenBSD, which may help improve Bitcoin Core's security and stability on that platform by allowing process isolation between different components.",build,bugfix
32711,"doc: add missing packages for BSDs (cmake, gmake, curl) to depends/README.md",https://github.com/bitcoin/bitcoin/pull/32711,merged,2025-06-09T12:50:10Z,2025-06-10T12:28:33Z,2025-06-10T12:28:33Z,Docs,Docs,1,3,3,1,4,0,hebasto,,"Adds documentation for missing package dependencies (cmake, gmake, curl) needed to build Bitcoin Core on BSD operating systems.","This likely reduces friction for developers and users attempting to compile Bitcoin Core on BSD systems, which may help expand the diversity of platforms running Bitcoin nodes.",docs,docs
32742,test: fix catchup loop in outbound eviction functional test,https://github.com/bitcoin/bitcoin/pull/32742,merged,2025-06-13T00:07:22Z,2025-06-25T22:14:22Z,2025-06-25T22:14:22Z,Tests,Tests,1,2,1,1,4,12,danielabrozzoni;maflcko;mzumsande;pablomartin4btc,32421,Fixes a small flaw in the catchup loop of the outbound eviction functional test related to waiting for getheaders messages.,"This appears to improve test reliability and accuracy, which may help ensure that Bitcoin Core's peer connection management works correctly under various network conditions.",tests,bugfix
32746,test: remove unnecessary m_best_header setting hack in feature_assumeutxo.py,https://github.com/bitcoin/bitcoin/pull/32746,merged,2025-06-13T12:50:45Z,2025-06-13T14:56:05Z,2025-06-13T14:56:05Z,Tests,Tests,1,0,6,1,0,0,janb84;mzumsande,26245;30666,Removes an unnecessary workaround hack for m_best_header setting in the assumeutxo test since the underlying bug has been fixed.,This likely cleans up technical debt in the test suite and may help ensure that assumeutxo functionality tests are more accurate and maintainable going forward.,tests,cleanup
32799,mempool: use `FeeFrac` for ancestor/descendant score comparators,https://github.com/bitcoin/bitcoin/pull/32799,merged,2025-06-24T02:21:34Z,2025-07-09T19:16:23Z,2025-07-09T19:16:23Z,Mempool,Mempool,3,19,43,1,1,15,glozow;ismaelsadeeq,29242,Replaces manual fee-rate calculations in mempool comparators with the existing FeeFrac class to simplify code and remove floating-point arithmetic.,"This change likely improves code maintainability and may reduce subtle bugs related to floating-point precision issues in mempool fee calculations, which appears important for transaction selection accuracy.",mempool,refactor
32842,doc: add `/spenttxouts` to REST-interface.md,https://github.com/bitcoin/bitcoin/pull/32842,merged,2025-06-30T21:29:07Z,2025-07-01T08:38:07Z,2025-07-01T08:38:07Z,Docs,Docs,1,7,0,1,0,0,pablomartin4btc,32540,Adds documentation for the `/spenttxouts` REST API endpoint that was previously missing from the interface documentation.,"This likely helps developers and integrators understand the complete REST API surface, which may improve adoption and proper usage of Bitcoin Core's REST interface.",docs,docs
32868,"test: refactor: overhaul block hash determination for `CBlock{,Header}` objects",https://github.com/bitcoin/bitcoin/pull/32868,merged,2025-07-03T12:39:27Z,2025-07-18T13:24:30Z,2025-07-18T13:24:30Z,Tests,Tests,7,241,278,39,0,15,danielabrozzoni;rkrux,32421;32742;32823;32421,Removes block header hash caching mechanism and introduces consistent naming for CBlock and CBlockHeader objects to eliminate stateful behavior.,"This change likely reduces the potential for subtle testing bugs and appears to make the codebase more predictable, which may help prevent issues in block validation logic.",tests,refactor
